Date,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude,Location,Results,Layer,Latitude,Longitude
2007-06-10,New Zealand,29,Nation,-41.5000831,172.8344077,North Island,28,State,-38.00353045,175.95785260835657,South Island,26.0,State,54.52476,-5.580055623278962
2007-06-17,New Zealand,47,Nation,-41.5000831,172.8344077,North Island,51,State,-38.00353045,175.95785260835657,South Island,28.0,State,54.52476,-5.580055623278962
2007-06-24,New Zealand,41,Nation,-41.5000831,172.8344077,North Island,46,State,-38.00353045,175.95785260835657,South Island,24.0,State,54.52476,-5.580055623278962
2007-07-01,New Zealand,57,Nation,-41.5000831,172.8344077,North Island,63,State,-38.00353045,175.95785260835657,South Island,35.0,State,54.52476,-5.580055623278962
2007-07-08,New Zealand,62,Nation,-41.5000831,172.8344077,North Island,57,State,-38.00353045,175.95785260835657,South Island,80.0,State,54.52476,-5.580055623278962
2007-07-15,New Zealand,76,Nation,-41.5000831,172.8344077,North Island,73,State,-38.00353045,175.95785260835657,South Island,92.0,State,54.52476,-5.580055623278962
2007-07-22,New Zealand,75,Nation,-41.5000831,172.8344077,North Island,66,State,-38.00353045,175.95785260835657,South Island,132.0,State,54.52476,-5.580055623278962
2007-07-29,New Zealand,74,Nation,-41.5000831,172.8344077,North Island,64,State,-38.00353045,175.95785260835657,South Island,168.0,State,54.52476,-5.580055623278962
2007-08-05,New Zealand,72,Nation,-41.5000831,172.8344077,North Island,71,State,-38.00353045,175.95785260835657,South Island,80.0,State,54.52476,-5.580055623278962
2007-08-12,New Zealand,87,Nation,-41.5000831,172.8344077,North Island,75,State,-38.00353045,175.95785260835657,South Island,235.0,State,54.52476,-5.580055623278962
2007-08-19,New Zealand,72,Nation,-41.5000831,172.8344077,North Island,68,State,-38.00353045,175.95785260835657,South Island,100.0,State,54.52476,-5.580055623278962
2007-08-26,New Zealand,73,Nation,-41.5000831,172.8344077,North Island,68,State,-38.00353045,175.95785260835657,South Island,118.0,State,54.52476,-5.580055623278962
2007-09-02,New Zealand,62,Nation,-41.5000831,172.8344077,North Island,62,State,-38.00353045,175.95785260835657,South Island,64.0,State,54.52476,-5.580055623278962
2007-09-09,New Zealand,53,Nation,-41.5000831,172.8344077,North Island,55,State,-38.00353045,175.95785260835657,South Island,73.0,State,54.52476,-5.580055623278962
2007-09-16,New Zealand,45,Nation,-41.5000831,172.8344077,North Island,42,State,-38.00353045,175.95785260835657,South Island,65.0,State,54.52476,-5.580055623278962
2007-09-23,New Zealand,32,Nation,-41.5000831,172.8344077,North Island,30,State,-38.00353045,175.95785260835657,South Island,44.0,State,54.52476,-5.580055623278962
2007-09-30,New Zealand,19,Nation,-41.5000831,172.8344077,North Island,17,State,-38.00353045,175.95785260835657,South Island,20.0,State,54.52476,-5.580055623278962
2007-10-07,New Zealand,23,Nation,-41.5000831,172.8344077,North Island,18,State,-38.00353045,175.95785260835657,South Island,14.0,State,54.52476,-5.580055623278962
2007-10-14,New Zealand,22,Nation,-41.5000831,172.8344077,North Island,18,State,-38.00353045,175.95785260835657,South Island,14.0,State,54.52476,-5.580055623278962
2007-10-21,New Zealand,14,Nation,-41.5000831,172.8344077,North Island,12,State,-38.00353045,175.95785260835657,South Island,16.0,State,54.52476,-5.580055623278962
2007-10-28,New Zealand,15,Nation,-41.5000831,172.8344077,North Island,12,State,-38.00353045,175.95785260835657,South Island,14.0,State,54.52476,-5.580055623278962
2007-11-04,New Zealand,11,Nation,-41.5000831,172.8344077,North Island,9,State,-38.00353045,175.95785260835657,South Island,8.0,State,54.52476,-5.580055623278962
2007-11-11,New Zealand,11,Nation,-41.5000831,172.8344077,North Island,8,State,-38.00353045,175.95785260835657,South Island,6.0,State,54.52476,-5.580055623278962
2007-11-18,New Zealand,9,Nation,-41.5000831,172.8344077,North Island,7,State,-38.00353045,175.95785260835657,South Island,5.0,State,54.52476,-5.580055623278962
2007-11-25,New Zealand,7,Nation,-41.5000831,172.8344077,North Island,5,State,-38.00353045,175.95785260835657,South Island,4.0,State,54.52476,-5.580055623278962
2007-12-02,New Zealand,7,Nation,-41.5000831,172.8344077,North Island,6,State,-38.00353045,175.95785260835657,South Island,3.0,State,54.52476,-5.580055623278962
2007-12-09,New Zealand,6,Nation,-41.5000831,172.8344077,North Island,5,State,-38.00353045,175.95785260835657,South Island,2.0,State,54.52476,-5.580055623278962
2007-12-16,New Zealand,9,Nation,-41.5000831,172.8344077,North Island,6,State,-38.00353045,175.95785260835657,South Island,2.0,State,54.52476,-5.580055623278962
2007-12-23,New Zealand,4,Nation,-41.5000831,172.8344077,North Island,4,State,-38.00353045,175.95785260835657,South Island,2.0,State,54.52476,-5.580055623278962
2007-12-30,New Zealand,9,Nation,-41.5000831,172.8344077,North Island,8,State,-38.00353045,175.95785260835657,South Island,2.0,State,54.52476,-5.580055623278962
2008-01-06,New Zealand,10,Nation,-41.5000831,172.8344077,North Island,10,State,-38.00353045,175.95785260835657,South Island,2.0,State,54.52476,-5.580055623278962
2008-01-13,New Zealand,8,Nation,-41.5000831,172.8344077,North Island,8,State,-38.00353045,175.95785260835657,South Island,3.0,State,54.52476,-5.580055623278962
2008-01-20,New Zealand,7,Nation,-41.5000831,172.8344077,North Island,8,State,-38.00353045,175.95785260835657,South Island,4.0,State,54.52476,-5.580055623278962
2008-01-27,New Zealand,10,Nation,-41.5000831,172.8344077,North Island,11,State,-38.00353045,175.95785260835657,South Island,6.0,State,54.52476,-5.580055623278962
2008-02-03,New Zealand,7,Nation,-41.5000831,172.8344077,North Island,6,State,-38.00353045,175.95785260835657,South Island,7.0,State,54.52476,-5.580055623278962
2008-02-10,New Zealand,9,Nation,-41.5000831,172.8344077,North Island,9,State,-38.00353045,175.95785260835657,South Island,9.0,State,54.52476,-5.580055623278962
2008-02-17,New Zealand,16,Nation,-41.5000831,172.8344077,North Island,16,State,-38.00353045,175.95785260835657,South Island,10.0,State,54.52476,-5.580055623278962
2008-02-24,New Zealand,12,Nation,-41.5000831,172.8344077,North Island,13,State,-38.00353045,175.95785260835657,South Island,9.0,State,54.52476,-5.580055623278962
2008-03-02,New Zealand,14,Nation,-41.5000831,172.8344077,North Island,14,State,-38.00353045,175.95785260835657,South Island,8.0,State,54.52476,-5.580055623278962
2008-03-09,New Zealand,16,Nation,-41.5000831,172.8344077,North Island,18,State,-38.00353045,175.95785260835657,South Island,8.0,State,54.52476,-5.580055623278962
2008-03-16,New Zealand,14,Nation,-41.5000831,172.8344077,North Island,13,State,-38.00353045,175.95785260835657,South Island,9.0,State,54.52476,-5.580055623278962
2008-03-23,New Zealand,17,Nation,-41.5000831,172.8344077,North Island,17,State,-38.00353045,175.95785260835657,South Island,12.0,State,54.52476,-5.580055623278962
2008-03-30,New Zealand,17,Nation,-41.5000831,172.8344077,North Island,17,State,-38.00353045,175.95785260835657,South Island,14.0,State,54.52476,-5.580055623278962
2008-04-06,New Zealand,16,Nation,-41.5000831,172.8344077,North Island,16,State,-38.00353045,175.95785260835657,South Island,17.0,State,54.52476,-5.580055623278962
2008-04-13,New Zealand,17,Nation,-41.5000831,172.8344077,North Island,17,State,-38.00353045,175.95785260835657,South Island,14.0,State,54.52476,-5.580055623278962
2008-04-20,New Zealand,17,Nation,-41.5000831,172.8344077,North Island,16,State,-38.00353045,175.95785260835657,South Island,16.0,State,54.52476,-5.580055623278962
2008-04-27,New Zealand,24,Nation,-41.5000831,172.8344077,North Island,25,State,-38.00353045,175.95785260835657,South Island,18.0,State,54.52476,-5.580055623278962
2008-05-04,New Zealand,23,Nation,-41.5000831,172.8344077,North Island,21,State,-38.00353045,175.95785260835657,South Island,25.0,State,54.52476,-5.580055623278962
2008-05-11,New Zealand,20,Nation,-41.5000831,172.8344077,North Island,19,State,-38.00353045,175.95785260835657,South Island,28.0,State,54.52476,-5.580055623278962
2008-05-18,New Zealand,27,Nation,-41.5000831,172.8344077,North Island,27,State,-38.00353045,175.95785260835657,South Island,27.0,State,54.52476,-5.580055623278962
2008-05-25,New Zealand,29,Nation,-41.5000831,172.8344077,North Island,26,State,-38.00353045,175.95785260835657,South Island,33.0,State,54.52476,-5.580055623278962
2008-06-01,New Zealand,32,Nation,-41.5000831,172.8344077,North Island,31,State,-38.00353045,175.95785260835657,South Island,36.0,State,54.52476,-5.580055623278962
2008-06-08,New Zealand,42,Nation,-41.5000831,172.8344077,North Island,43,State,-38.00353045,175.95785260835657,South Island,29.0,State,54.52476,-5.580055623278962
2008-06-15,New Zealand,66,Nation,-41.5000831,172.8344077,North Island,66,State,-38.00353045,175.95785260835657,South Island,43.0,State,54.52476,-5.580055623278962
2008-06-22,New Zealand,54,Nation,-41.5000831,172.8344077,North Island,55,State,-38.00353045,175.95785260835657,South Island,50.0,State,54.52476,-5.580055623278962
2008-06-29,New Zealand,71,Nation,-41.5000831,172.8344077,North Island,71,State,-38.00353045,175.95785260835657,South Island,56.0,State,54.52476,-5.580055623278962
2008-07-06,New Zealand,70,Nation,-41.5000831,172.8344077,North Island,71,State,-38.00353045,175.95785260835657,South Island,61.0,State,54.52476,-5.580055623278962
2008-07-13,New Zealand,78,Nation,-41.5000831,172.8344077,North Island,82,State,-38.00353045,175.95785260835657,South Island,67.0,State,54.52476,-5.580055623278962
2008-07-20,New Zealand,85,Nation,-41.5000831,172.8344077,North Island,83,State,-38.00353045,175.95785260835657,South Island,72.0,State,54.52476,-5.580055623278962
2008-07-27,New Zealand,80,Nation,-41.5000831,172.8344077,North Island,75,State,-38.00353045,175.95785260835657,South Island,86.0,State,54.52476,-5.580055623278962
2008-08-03,New Zealand,111,Nation,-41.5000831,172.8344077,North Island,102,State,-38.00353045,175.95785260835657,South Island,138.0,State,54.52476,-5.580055623278962
2008-08-10,New Zealand,120,Nation,-41.5000831,172.8344077,North Island,108,State,-38.00353045,175.95785260835657,South Island,175.0,State,54.52476,-5.580055623278962
2008-08-17,New Zealand,121,Nation,-41.5000831,172.8344077,North Island,118,State,-38.00353045,175.95785260835657,South Island,133.0,State,54.52476,-5.580055623278962
2008-08-24,New Zealand,102,Nation,-41.5000831,172.8344077,North Island,105,State,-38.00353045,175.95785260835657,South Island,112.0,State,54.52476,-5.580055623278962
2008-08-31,New Zealand,93,Nation,-41.5000831,172.8344077,North Island,88,State,-38.00353045,175.95785260835657,South Island,125.0,State,54.52476,-5.580055623278962
2008-09-07,New Zealand,75,Nation,-41.5000831,172.8344077,North Island,68,State,-38.00353045,175.95785260835657,South Island,114.0,State,54.52476,-5.580055623278962
2008-09-14,New Zealand,57,Nation,-41.5000831,172.8344077,North Island,50,State,-38.00353045,175.95785260835657,South Island,88.0,State,54.52476,-5.580055623278962
2008-09-21,New Zealand,52,Nation,-41.5000831,172.8344077,North Island,44,State,-38.00353045,175.95785260835657,South Island,97.0,State,54.52476,-5.580055623278962
2008-09-28,New Zealand,35,Nation,-41.5000831,172.8344077,North Island,30,State,-38.00353045,175.95785260835657,South Island,78.0,State,54.52476,-5.580055623278962
2008-10-05,New Zealand,22,Nation,-41.5000831,172.8344077,North Island,21,State,-38.00353045,175.95785260835657,South Island,47.0,State,54.52476,-5.580055623278962
2008-10-12,New Zealand,27,Nation,-41.5000831,172.8344077,North Island,25,State,-38.00353045,175.95785260835657,South Island,43.0,State,54.52476,-5.580055623278962
2008-10-19,New Zealand,21,Nation,-41.5000831,172.8344077,North Island,20,State,-38.00353045,175.95785260835657,South Island,38.0,State,54.52476,-5.580055623278962
2008-10-26,New Zealand,19,Nation,-41.5000831,172.8344077,North Island,18,State,-38.00353045,175.95785260835657,South Island,27.0,State,54.52476,-5.580055623278962
2008-11-02,New Zealand,17,Nation,-41.5000831,172.8344077,North Island,18,State,-38.00353045,175.95785260835657,South Island,19.0,State,54.52476,-5.580055623278962
2008-11-09,New Zealand,19,Nation,-41.5000831,172.8344077,North Island,19,State,-38.00353045,175.95785260835657,South Island,19.0,State,54.52476,-5.580055623278962
2008-11-16,New Zealand,15,Nation,-41.5000831,172.8344077,North Island,14,State,-38.00353045,175.95785260835657,South Island,21.0,State,54.52476,-5.580055623278962
2008-11-23,New Zealand,12,Nation,-41.5000831,172.8344077,North Island,10,State,-38.00353045,175.95785260835657,South Island,22.0,State,54.52476,-5.580055623278962
2008-11-30,New Zealand,9,Nation,-41.5000831,172.8344077,North Island,7,State,-38.00353045,175.95785260835657,South Island,18.0,State,54.52476,-5.580055623278962
2008-12-07,New Zealand,13,Nation,-41.5000831,172.8344077,North Island,12,State,-38.00353045,175.95785260835657,South Island,17.0,State,54.52476,-5.580055623278962
