Date,South Africa,Gauteng,Kwazulu-Natal,Western Cape
2012-12-02,1996,1928,2064,1926
2012-12-09,1848,1835,2008,1998
2012-12-16,1877,1834,1818,1839
2012-12-23,2083,2188,1801,2000
2012-12-30,1976,1940,1875,2128
2013-01-06,1813,1888,1851,1978
2013-01-13,1796,1843,1694,1840
2013-01-20,1854,1777,1702,1982
2013-01-27,1758,1767,1640,1850
2013-02-03,1854,1893,1935,1782
2013-02-10,2037,2095,2012,1850
2013-02-17,1983,2120,1997,1880
2013-02-24,1913,1963,1853,1970
2013-03-03,2024,1995,1807,2090
2013-03-10,2184,2179,1847,2403
2013-03-17,2341,2489,2079,2297
2013-03-24,2242,2212,2047,2495
2013-03-31,2173,2138,2191,2284
2013-04-07,2418,2431,2138,2559
2013-04-14,2381,2424,2191,2416
2013-04-21,2675,2628,2432,2844
2013-04-28,2683,2742,2583,2753
2013-05-05,3120,3272,2968,2769
2013-05-12,3307,3512,3294,3169
2013-05-19,3166,3231,2968,3411
2013-05-26,3439,3701,2969,3228
2013-06-02,3563,3918,3245,3033
2013-06-09,3891,4124,3338,3964
2013-06-16,4204,4739,3243,3921
2013-06-23,4008,4447,3309,3457
2013-06-30,3470,3888,2762,3027
2013-07-07,3222,3603,2657,2696
2013-07-14,2983,3375,2622,2502
2013-07-21,2933,3033,2965,2736
2013-07-28,3252,3451,2987,3047
2013-08-04,3433,3701,2968,3103
2013-08-11,3783,4149,3416,3134
2013-08-18,3586,3962,3407,3294
2013-08-25,3231,3590,3478,2831
2013-09-01,3265,3729,2989,2818
2013-09-08,3390,3924,3012,2811
2013-09-15,3454,4016,3044,2863
2013-09-22,3095,3251,2907,3042
2013-09-29,2964,2765,2836,3379
2013-10-06,2756,2797,2503,2992
2013-10-13,2529,2453,2516,2646
2013-10-20,2356,2166,2628,2867
2013-10-27,2362,2274,2544,2567
2013-11-03,2454,2446,2515,2493
2013-11-10,2365,2273,2342,2285
2013-11-17,2130,2175,2171,1915
2013-11-24,1929,1951,1922,2011
2013-12-01,1973,2017,1926,1979
2013-12-08,2001,1991,2111,2015
2013-12-15,2226,2256,2045,2171
2013-12-22,2280,2236,2373,2465
2013-12-29,2422,2489,2409,2273
2014-01-05,2136,2247,2100,2096
2014-01-12,2013,2156,1761,1713
2014-01-19,1846,1895,1662,1826
2014-01-26,1863,1932,1494,1873
2014-02-02,2199,2268,1767,2269
2014-02-09,2416,2529,1861,2414
2014-02-16,2615,2759,2083,2420
2014-02-23,2434,2643,1696,2230
2014-03-02,2319,2388,1628,2635
2014-03-09,2611,2730,2165,2406
2014-03-16,2822,2932,2456,2539
2014-03-23,2852,2956,2515,2584
2014-03-30,2970,3150,2410,2770
2014-04-06,3022,3272,2323,2787
2014-04-13,2774,2886,2164,2898
2014-04-20,3123,3388,2547,2676
2014-04-27,2883,3044,2565,2634
2014-05-04,2792,2845,2352,3041
2014-05-11,3088,3114,2649,3301
2014-05-18,3223,3195,2599,3805
2014-05-25,3338,3340,2412,4037
2014-06-01,3492,3567,2316,4027
2014-06-08,3587,3670,2390,4117
2014-06-15,4010,4084,2910,4401
2014-06-22,4634,4773,3278,4804
2014-06-29,4283,4517,3075,4636
2014-07-06,4472,4589,4392,4422
2014-07-13,4200,4269,4749,3741
2014-07-20,3603,3801,3462,3040
2014-07-27,3763,3940,3124,3566
2014-08-03,4253,4417,3716,4056
2014-08-10,4365,4581,3899,4244
2014-08-17,4309,4496,3482,4324
2014-08-24,3902,3942,3554,4098
2014-08-31,3681,3778,2920,3994
2014-09-07,3786,4093,2639,3587
2014-09-14,3567,3711,2747,3823
2014-09-21,3042,3123,2364,3292
2014-09-28,2832,2759,2477,3412
2014-10-05,2999,2974,2342,3509
2014-10-12,2878,2803,2728,3343
2014-10-19,2639,2610,2902,2679
2014-10-26,2325,2243,2593,2472
2014-11-02,2351,2212,2330,2791
2014-11-09,2321,2272,2338,2545
2014-11-16,2346,2371,2261,2504
2014-11-23,2174,2183,2219,2080
2014-11-30,2043,2110,2001,1969
2014-12-07,2095,2138,1953,2058
2014-12-14,1952,2014,2078,1885
2014-12-21,2123,2068,2022,2532
2014-12-28,2211,2154,2108,2463
2015-01-04,2132,2173,1903,2052
2015-01-11,2067,2130,1779,2044
2015-01-18,2120,2138,1824,2096
2015-01-25,2358,2445,2129,2075
